Treatment,Yield
None,265
None,292
None,268
None,251
None,245
None,192
None,228
None,291
None,185
None,247
Heat10,204
Heat10,234
Heat10,197
Heat10,176
Heat10,240
Heat10,190
Heat10,171
Heat10,190
Heat10,222
Heat10,211
Form10,191
Form10,207
Form10,218
Form10,201
Form10,192
Form10,192
Form10,214
Form10,206
Form10,185
Form10,163
FormHeat,221
FormHeat,205
FormHeat,178
FormHeat,167
FormHeat,224
FormHeat,225
FormHeat,171
FormHeat,214
FormHeat,283
FormHeat,277
HeatForm,259
HeatForm,206
HeatForm,179
HeatForm,199
HeatForm,180
HeatForm,146
HeatForm,182
HeatForm,147
HeatForm,182
HeatForm,223
